subject,libs,elf_bytes,self_bytes,mode,mean_ms,stddev_ms
hello,2,15848,57344,elf,1.401,0.303
hello,2,15848,57344,memfd,6.836,0.586
hello,2,15848,57344,native,6.915,0.678
git,5,4753856,10268672,elf,3.000,0.311
git,5,4753856,10268672,memfd,32.714,1.232
git,5,4753856,10268672,native,20.821,3.040
curl,27,280440,700416,elf,11.069,2.669
curl,27,280440,700416,memfd,18.751,2.382
curl,27,280440,700416,native,15.170,1.014
gdb,47,42046456,98242560,elf,86.109,3.248
gdb,47,42046456,98242560,memfd,196.525,4.615
gdb,47,42046456,98242560,native,156.414,4.492
